"movieCode","title","subtitle","score","genre","country","runningTime","pubDate","plot","filmRating","director","actors","poster","stillCuts"
"10249","모던 타임즈","Modern Times , 1936","9.44점","코미디|","미국|","87분","2015.03.19재개봉,1993.08.14재개봉,1989.12.09개봉","공장에서 하루 종일 나사못 조이는 일을 하는 찰리. 눈에 보이는 모든 것을 조여버리는 강박 관념에 빠지고만 그는 급기야 정신 병원에 가게 되고, 거리를 방황하다 시위 군중에 휩쓸려 감옥살이까지 하게 된다. 몇 년 후 감옥에서 풀려난 찰리는 부모를 잃고 고아가 된 한 아름다운 소녀를 도와주게 되고, 그녀의 도움으로 카페에서 일하게 되지만 우여곡절 끝에 다시 거리로 내몰리고 만다. 절망 속에서 피어나는 함박웃음! 찰리와 소녀의 행복을 찾아가는 아름다운 여정!","전체 관람가","찰리 채플린","찰리 채플린|파울레트 고다드|헨리 버그맨|타이니 샌포드|체스터 콘클린|행크 만|스탠리 브리스톤|알랜 가르시아|리처드 알렉산더|미라 맥키니|머독 맥쿼리|윌프레드 루카스|프레드 말라테스타|새미 스타인|주아나 슈튼|테드 올리버|노먼 에인슬리|보비 바버|하인니 콘클린|글로리아 드헤븐|프랭크 해그니|척 해밀턴|로이드 잉그래엄|월터 제임스|잭 로우|프랭크 모란|제임스 C. 모턴|루이스 나데오|존 랜드|해리 윌슨|","https://movie-phinf.pstatic.net/20150210_110/1423530446210OeFV1_JPEG/movie_image.jpg?type=m77_110_2","https://movie-phinf.pstatic.net/20111222_137/1324502837093gRiil_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20111222_293/1324502837736XMluN_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20111222_283/1324502838349qUvDn_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20111222_106/13245028420361mJRH_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20111222_173/13245028426580lf8n_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20111222_107/1324502843314XDXqj_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20111222_74/1324502843981Fn9fR_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20111222_250/1324502844508PXuCT_JPEG/movie_image.jpg?type=m665_443_2|"
"16531","인생","活着 , Lifetimes , 1994","9.43점","드라마|","중국|대만|","132분","1995.05.27개봉","1940년대 중국, 부유한 지주집 아들인 부귀(갈우 분)는 아름다운 아내(공리 분)까지 둔 부러울것 없는 사람이었다. 그런 그가 도박에 빠져 전재산을 잃게 되자 아내는 자식을 데리고 친정으로 가버리고, 아버지는 충격으로 숨을거둔다. 일순간에 생의 밑바닥으로 추락한 그는 아내가 돌아오자 자신의 재산을 뺏아은 사람에게서 그림자극 도구를 얻어와 그림자극을 하며 생계를 유지하게 된다. 그렇게 행복을 조금씩 배워가는 그에게 역사는 그를 역사의 소용돌이 속으로 밀어넣는다. 혁명이 일어나고, 국공내전이 발발하자 그는 이유도 모르고 무슨 전쟁인지도 모른체 전쟁에 끌려간다. 민중들에게는 아무 의미없는 전쟁에서 부귀는 생존의 방법으로 그림자극을 선택한다. 내전이 끝나고 집으로 돌아오자 아들이 교통사고로 죽고 후에 딸은 아이를 낳다가 죽는다.","15세 관람가","장이머우","공리|갈우|강무|곽도|","https://movie-phinf.pstatic.net/20200625_188/1593063628854tOWl9_JPEG/movie_image.jpg?type=m77_110_2","https://movie-phinf.pstatic.net/20200625_188/1593063628854tOWl9_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20111221_92/13244550096878VBm9_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20111221_164/1324455010472J5pky_JPEG/movie_image.jpg?type=m665_443_2|"
"196051","극장판 귀멸의 칼날: 무한열차편","劇場版「鬼滅の刃」無限列車編 , Demon Slayer: Kimetsu no Yaiba the Movie - Mugen Train , 2020","9.62점","애니메이션|","일본|","117분","2021.01.27개봉","혈귀로 변해버린 여동생 ‘네즈코’를 인간으로 되돌릴 단서를 찾아 비밀조직 귀살대에 들어간 ‘탄지로.’ ‘젠이츠’, ‘이노스케’와 새로운 임무 수행을 위해 무한열차에 탑승 후 귀살대 최강 검사 염주 ‘렌고쿠’와 합류한다. 달리는 무한열차에서 승객들이 하나 둘 흔적 없이 사라지자 숨어있는 식인 혈귀의 존재를 직감하는 ‘렌고쿠’. 귀살대 ‘탄지로’ 일행과 최강 검사 염주 ‘렌고쿠’는 어둠 속을 달리는 무한열차에서 모두의 목숨을 구하기 위해 예측불가능한 능력을 가진 혈귀와 목숨을 건 혈전을 시작하는데…","15세 관람가","소토자키 하루오","하나에 나츠키|키토 아카리|시모노 히로|마츠오카 요시츠구|히노 사토시|히라카와 다이스케|","https://movie-phinf.pstatic.net/20210126_174/1611638248803840HH_JPEG/movie_image.jpg?type=m77_110_2","https://movie-phinf.pstatic.net/20201116_237/1605501288894moby3_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20201116_97/160550128901319t0w_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20201116_227/1605501289222qr3KR_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20201116_78/1605501289698ahA3f_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20201116_159/1605501289852sMn8k_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20201116_244/16055012899547GgGp_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210203_156/1612336846173tCyQG_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210120_106/16111088031927UsmM_JPEG/movie_image.jpg?type=m665_443_2|"
"10341","위대한 독재자","The Great Dictator , 1940","9.33점","코미디|","미국|","126분","2015.04.16재개봉,2002.11.01재개봉,1988개봉","세계대전에서 패배한 토매니아국에 힌켈이라는 독재자가 나타나 악명을 떨친다. 한편, 힌켈과 닮은꼴 외모의 이발사 찰리는 국가의 유태인 탄압정책으로 인해 곤경에 처하지만 병사로 참전했던 전쟁에서 우연히 구해줬던 슐츠 장교의 도움을 받아 위기를 모면한다. 독재자 힌켈의 악행은 갈수록 도를 더해가고, 찰리는 유태인 수용소에 끌려가게 되지만 기지를 부려 탈옥에 성공한다. 하지만 이발사와 똑같은 얼굴을 한 힌켈이 탈옥범으로 오해 받아 감옥에 잡혀 들어가게 되는데…","전체 관람가","찰리 채플린","찰리 채플린|파울레트 고다드|잭 오키|레지날드 가디너|헨리 다니엘|빌리 길버트|그레이스 헤일리|카터 드 해븐|모리스 모스코비치|엠마 던|폴 웨이겔|체스터 콘클린|행크 만|에디 그리븐|루돌프 앤더스|에디 던|","https://movie-phinf.pstatic.net/20150330_89/1427701328897Bu28M_JPEG/movie_image.jpg?type=m77_110_2","https://movie-phinf.pstatic.net/20111222_124/1324489222516eOlY5_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20111222_212/1324489223106lWtCH_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20111222_31/1324489223702QQVTI_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20111222_107/1324489224319rDF7T_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20140613_148/1402637047163CuM6A_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20140613_143/1402637047407RaXKr_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20140613_172/1402637047576sd1rS_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20140613_88/1402637047991WERpd_JPEG/movie_image.jpg?type=m665_443_2|"
"187322","크루엘라","Cruella , 2021","9.31점","드라마|범죄|코미디|","미국|","133분","2021.05.26개봉","처음부터 난 알았어. 내가 특별하단 걸 그게 불편한 인간들도 있겠지만 모두의 비위를 맞출 수는 없잖아? 그러다 보니 결국, 학교를 계속 다닐 수가 없었지 우여곡절 런던에 오게 된 나, 에스텔라는 재스퍼와 호레이스를 운명처럼 만났고 나의 뛰어난 패션 감각을 이용해 완벽한 변장과 빠른 손놀림으로 런던 거리를 싹쓸이 했어 도둑질이 지겹게 느껴질 때쯤, 꿈에 그리던 리버티 백화점에 낙하산(?)으로 들어가게 됐어 거리를 떠돌았지만 패션을 향한 나의 열정만큼은 언제나 진심이었거든 근데 이게 뭐야, 옷에는 손도 못 대보고 하루 종일 바닥 청소라니 인내심에 한계를 느끼고 있을 때, 런던 패션계를 꽉 쥐고 있는 남작 부인이 나타났어 천재는 천재를 알아보는 법! 난 남작 부인의 브랜드 디자이너로 들어가게 되었지 꿈을 이룰 것 같았던 순간도 잠시, 세상에 남작 부인이 ‘그런 사람’이었을 줄이야… 그래서 난 내가 누군지 보여주기로 했어 잘가, 에스텔라 난 이제 크루엘라야!","12세 관람가","크레이그 질레스피","엠마 스톤|엠마 톰슨|마크 스트롱|폴 월터 하우저|에밀리 비샴|조엘 프라이|커비 하월 바티스트|제이미 드메트리우|","https://movie-phinf.pstatic.net/20210512_139/1620799657168vGIqq_JPEG/movie_image.jpg?type=m77_110_2","https://movie-phinf.pstatic.net/20210429_77/1619673476007Fne6G_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210429_262/16196735046548zAeF_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210429_132/1619673522667Eof4T_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210429_159/1619673546261ihAom_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210507_169/1620349623380LBMRP_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210507_15/16203496427396a8a8_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210507_266/1620349665684cB9xl_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210507_95/1620349679144hWneq_JPEG/movie_image.jpg?type=m665_443_2|"
"19335","해피 투게더","春光乍洩 , Happy Together , 1997","9.38점","드라마|","홍콩|","97분","2021.02.04재개봉,2009.03.27재개봉,1998.08.22개봉","홍콩을 떠나 지구 반대편 부에노스아이레스에 온 ‘보영’과 ‘아휘’ 이과수 폭포를 찾아가던 중 두 사람은 사소한 다툼 끝에 이별하고 각자의 길을 떠난다. 얼마 후 상처투성이로 ‘아휘’의 앞에 다시 나타난 ‘보영’은 무작정 “다시 시작하자”고 말한다. 서로를 위로하며 점차 행복한 시간을 보내는 두 사람. 하지만 ‘보영’의 변심이 두려운 ‘아휘’와 ‘아휘’의 구속이 견디기 힘든 ‘보영’은 또다시 서로의 마음에 상처 내는 말을 내뱉은 뒤 헤어지는데...","15세 관람가","왕가위","장국영|양조위|장첸|관숙의|","https://movie-phinf.pstatic.net/20210111_41/1610333478672K6ihS_JPEG/movie_image.jpg?type=m77_110_2","https://movie-phinf.pstatic.net/20210118_138/1610944383575jHGHm_JPEG/movie_image.jpg?type=m665_443_2|https://ssl.pstatic.net/static/movie/2012/06/adult_img665x443.png|https://movie-phinf.pstatic.net/20210118_241/1610944383854Vi8SR_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210118_18/1610944384239Fj5AS_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210118_63/1610944384610O3grn_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210118_264/1610944384876xe7UM_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210118_252/1610944385212BwkrB_JPEG/movie_image.jpg?type=m665_443_2|https://ssl.pstatic.net/static/movie/2012/06/adult_img665x443.png|"
"173692","바울","Paul, Apostle Of Christ , 2018","9.49점","드라마|","미국|","107분","2018.10.31개봉","그리스도가 부활한 지 약 30년 후인 AD 67년, 로마제국의 황제 ‘네로’는 자신의 광기로 일어난 대화재의 원인으로 신흥종교인 기독교에 책임을 돌린다. 짐승들의 먹이가 되거나 불태워지며 극심한 박해를 받는 크리스천들. 그리고 그들의 리더인 ‘바울’은 ‘네로’의 명령에 의해 감옥에 갇혀 사형될 날만을 기다리고 있다. 이러한 상황 속에서 바울의 동역자인 ‘누가’는 죽음의 문턱, 두려움 속에 점점 희망을 잃어가는 크리스천들에게 ‘바울’의 일생과 그가 얻은 지혜를 사도행전으로 기록하여 전하고자 깊은 감옥 속으로 숨어드는데….","15세 관람가","앤드류 하얏트","제임스 폴크너|제임스 카비젤|올리비에 마르티네즈|존 린치|조앤 웨일리|안토니아 캠벨-휴즈|요르고스 카라미호스|마누엘 코우치|노아 헌틀리|앤드레 아기어스|","https://movie-phinf.pstatic.net/20181126_296/1543195305541TXc6u_JPEG/movie_image.jpg?type=m77_110_2","https://movie-phinf.pstatic.net/20180912_227/1536717502243NgVWS_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20180912_10/1536717502476dfmQv_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20180912_261/1536717502559K0OEm_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20180912_171/1536717502646G80j4_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20180912_169/1536717502810SWl9P_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20180912_183/15367175029686AT2S_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20180912_100/153671750311097YKl_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20180912_292/1536717503225oYuny_JPEG/movie_image.jpg?type=m665_443_2|"
"190324","프리 가이","Free Guy , 2021","8.69점","액션|모험|","미국|","115분","2021.08.11개봉","평범한 직장, 절친 그리고 한 잔의 커피. 평화로운 일상 속 때론 총격전과 날강도가 나타나는 버라이어티한 ‘프리 시티’에 살고 있는 ‘가이’. 그에겐 뭐 하나 부족한 것이 없었다. 우연히 마주친 그녀에게 한눈에 반하기 전까지는… 갖은 노력 끝에 다시 만난 그녀는 ‘가이’가 비디오 게임 ‘프리 시티’에 사는 배경 캐릭터이고, 이 세상은 곧 파괴될 거라 경고한다. 혼란에 빠진 ‘가이’ 그러나 그는 ‘프리 시티’의 파괴를 막기 위해 더 이상 배경 캐릭터가 아닌, 히어로가 되기로 결심한다. 시원하게 터지는 상상초월 엔터테이닝 액션 블록버스터! 인생의 판을 바꿀 짜릿한 반란이 시작된다!","12세 관람가","숀 레비","라이언 레이놀즈|조디 코머|타이카 와이티티|조 키어리|릴렐 호워리|우카쉬 엠부드카|맷티 카다로플|브리트니 올드포드|","https://movie-phinf.pstatic.net/20210721_243/1626844891093xnPK1_JPEG/movie_image.jpg?type=m77_110_2","https://movie-phinf.pstatic.net/20210714_60/1626226060240h0Jgl_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210714_68/1626226095468G2RHd_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210714_139/1626226115042zgTyR_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210714_49/1626226140461aJX7i_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210714_163/1626226163202RWkkz_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210714_84/16262261813610vge0_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210726_152/1627261569155pl4pu_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210802_264/16278799021178XfCU_JPEG/movie_image.jpg?type=m665_443_2|"
"191597","보스 베이비 2","The Boss Baby: Family Business , 2021","9.44점","애니메이션|코미디|모험|","미국|","107분","2021.07.21개봉","베이비 주식회사의 레전드 보스 베이비에서 인생 만렙 CEO가 된 ‘테드’. 베이비인 줄 알았던 조카 ‘티나’가 알고 보니 베이비 주식회사 소속 임원으로 밝혀진다. 뉴 보스 베이비 ‘티나’의 지시로 다시 베이비로 돌아간 ‘테드’와 형 ‘팀’에게 주어진 시간은 48시간! 세상을 구하기 위한 미션을 무사히 완수할 수 있을 것인가?","전체 관람가","톰 맥그라스","알렉 볼드윈|제임스 마스던|에이미 세다리스|에바 롱고리아|제프 골드브럼|지미 키멜|리사 쿠드로|아리나 그린블랫|제임스 맥그레이스|","https://movie-phinf.pstatic.net/20210622_174/1624324910624JhEq2_JPEG/movie_image.jpg?type=m77_110_2","https://movie-phinf.pstatic.net/20210629_37/1624929527577vl6bb_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210629_269/1624929554005edu25_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210629_122/16249295753626keKT_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210629_276/162492960224558buN_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210629_80/1624929622072gOEPs_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210629_117/1624929637303hnFBC_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210629_94/1624929681794R2WO0_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210629_264/1624929694734aHfGO_JPEG/movie_image.jpg?type=m665_443_2|"
"200896","꽃다발 같은 사랑을 했다","花束みたいな?をした , We Made a Beautiful Bouquet , 2021","8.68점","멜로/로맨스|","일본|","123분","2021.07.14개봉","“시작은 막차였다” 집으로 가는 막차를 놓친 스물한 살 대학생 ’무기’와 ‘키누’는 첫차를 기다리며 함께 시간을 보내게 된다. 좋아하는 책부터 영화, 신고 있는 신발까지 모든 게 꼭 닮은 두 사람은 수줍은 고백과 함께 연애를 시작하고 매일매일 행복한 시간을 쌓아간다. “내 인생의 목표는 너와의 현상 유지야!” 하지만 대학 졸업과 함께 취업 준비에 나선 두 사람은 점점 서로에게 소원해지고 꿈과 현실 사이의 거리 만큼 마음의 거리도 멀어지기 시작하는데...","12세 관람가","도이 노부히로","아리무라 카스미|스다 마사키|키요하라 카야|호소다 카나타|칸 하나에|나카자키 하야|타키우치 쿠미|모리 유사쿠|","https://movie-phinf.pstatic.net/20210615_3/1623748505590DVbIq_JPEG/movie_image.jpg?type=m77_110_2","https://movie-phinf.pstatic.net/20210601_254/1622513647905sKS29_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210601_8/1622513683470gNwHJ_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210601_89/162251370222443ykq_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210601_174/1622513720705KWnW0_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210601_145/16225137423854BlAD_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210601_160/1622513763561Wcj0x_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210601_117/16225137831222OPxK_JPEG/movie_image.jpg?type=m665_443_2|https://movie-phinf.pstatic.net/20210601_41/1622513804377RlsVg_JPEG/movie_image.jpg?type=m665_443_2|"
